SNO,BHK,Sq. ft.,Crime rate(%),Distance from Hospital,Distance from Workplace, Distance from Market,Distance from Rly. Station,Rent
66,3,1160,13,2,3,8,6,11583
67,2,368,12,4,3,2,1,4189
68,1,357,21,4,1,8,3,4207
69,3,1141,15,7,8,1,8,11789
70,1,370,15,4,9,2,5,3880
71,1,539,20,6,3,8,7,6807
72,3,826,8,2,8,7,8,7071
73,1,380,33,9,4,4,10,3827
74,3,1215,14,7,9,8,10,13254
75,2,542,33,6,2,9,3,6502
76,3,1049,15,6,6,10,10,13193
77,3,1005,2,8,6,7,4,12644
78,1,476,14,4,9,2,3,4813
79,1,537,1,4,4,5,4,6691
80,1,398,18,5,2,5,1,4427
81,2,406,24,10,3,7,8,4604
82,3,1096,3,9,8,1,1,12868
83,3,1248,16,4,1,6,2,11907
84,2,365,14,8,7,2,1,4195
85,1,511,22,4,8,4,2,6090
86,1,465,20,10,4,3,2,4767
87,1,571,37,7,5,4,4,6782
88,2,562,31,6,8,3,2,6046
89,2,510,11,10,6,10,6,6240
90,1,555,25,7,3,8,6,6882
91,2,366,21,7,6,2,6,3752
92,2,475,13,5,9,4,5,5113
93,2,527,33,4,8,3,10,6032
94,1,613,37,1,2,4,3,6471
95,1,471,34,3,7,1,1,5275
96,2,578,27,8,7,5,9,6650
97,1,451,1,9,6,6,5,4630
98,2,378,13,10,5,1,8,4310
99,2,622,23,7,10,5,5,6837
100,3,1075,36,7,5,3,9,13742
101,3,1110,32,2,6,7,3,13577
102,2,558,10,1,4,9,10,6318
103,2,608,17,5,1,9,9,6647
104,3,1400,22,3,10,1,9,13456
105,2,535,27,3,6,5,3,6724
106,1,445,23,1,5,10,3,4647
107,1,583,16,10,10,10,9,6545
108,1,442,30,1,1,6,9,4864
109,1,605,14,10,1,8,5,6642
110,3,1345,2,2,10,6,4,13198
111,1,356,9,6,10,8,8,4061
112,1,646,17,9,4,1,8,6489
113,2,428,36,8,8,5,5,4936
114,1,560,21,7,6,8,9,6856
115,2,546,40,5,9,10,8,6818
116,2,624,27,6,4,8,2,6020
117,1,477,9,6,2,7,8,4848
118,3,1213,1,7,9,2,9,11614
119,1,366,29,10,7,2,4,4038
120,3,1253,14,6,3,6,8,12151
121,3,855,36,9,10,7,7,10007
122,1,502,12,10,7,10,8,6473
123,1,489,32,10,5,9,8,4636
124,1,390,26,4,7,5,10,3803
125,1,463,4,8,4,6,7,4777
126,3,946,6,2,7,9,8,11271
127,1,350,6,6,1,7,1,3707
128,1,570,33,3,10,3,4,6065
129,3,1125,24,6,2,8,3,12316
130,3,1283,13,7,1,8,10,13447
131,2,643,21,8,7,8,10,6333
132,1,604,29,10,3,9,8,6885
133,1,388,15,3,3,9,8,3851
134,3,917,5,10,5,8,6,11166
135,3,1358,14,10,9,8,6,12551
136,3,1134,7,5,3,2,4,13200
137,2,518,18,4,2,3,7,6424
138,3,1311,16,6,4,1,8,12440
139,1,577,26,3,5,7,1,6474
140,3,911,23,6,5,6,5,9988
141,3,960,40,8,9,3,9,10800
142,1,540,14,7,6,1,6,6676
143,2,355,3,1,9,4,5,4396
144,1,501,1,3,2,8,4,5089
145,1,638,8,1,3,10,4,6521
146,3,1279,18,7,3,8,8,12951
147,3,971,8,9,2,10,7,9533
148,1,568,14,3,4,4,10,6518
149,2,496,11,10,7,10,4,4947
150,3,950,23,6,8,4,6,9621
151,1,626,28,10,7,5,4,6366
152,2,499,13,6,2,4,9,4518
153,1,383,27,1,4,2,6,4279
154,1,405,25,9,8,8,4,4559
155,3,858,8,7,6,4,10,11209
156,3,817,3,6,9,4,10,8214
157,1,464,18,10,5,5,5,4793
158,1,426,23,9,6,2,4,5346
159,1,469,39,3,7,1,5,4795
160,3,801,37,6,5,1,3,8097
161,1,529,15,9,7,6,3,6307
162,2,596,36,2,10,9,3,6108
163,1,622,32,10,9,5,8,6683
164,2,439,31,6,3,5,8,4840
165,2,410,40,7,9,3,10,5461
166,3,1287,22,3,9,8,1,13963
167,1,589,11,2,2,9,10,6322
168,3,1109,28,7,2,5,2,13708
169,1,420,40,5,9,1,3,5249
170,3,1266,27,1,8,5,5,13267
171,2,431,9,2,8,10,8,5099
172,3,1114,16,8,10,7,1,13298
173,1,567,6,9,9,6,4,6674
174,2,415,36,6,10,3,4,5250
175,3,884,15,7,2,5,7,9653
176,3,1336,28,10,4,6,10,12348
177,2,384,21,1,5,10,4,4092
178,1,547,3,6,3,2,5,6888
179,1,378,13,5,3,7,8,4064
180,2,487,40,10,3,8,1,5338
181,1,558,13,8,3,9,8,6298
182,2,463,23,9,6,1,6,5303
183,1,401,38,8,5,10,2,3769
184,2,640,24,1,10,10,3,6348
185,2,544,15,2,9,5,9,6337
186,1,580,27,2,7,10,9,6295
187,2,391,14,1,8,10,10,4174
188,3,1372,3,7,8,3,9,12419
189,1,456,37,3,8,1,2,4718
190,3,1235,23,4,2,5,7,12305
191,2,650,31,9,5,6,10,6583
192,1,420,38,8,3,2,5,4909
193,2,576,8,6,6,10,8,6393
194,2,472,23,8,5,10,6,5110
195,2,492,28,4,5,1,9,4966
196,3,1153,9,8,10,7,8,13739
197,3,1209,22,8,1,4,7,13346
198,3,1116,19,8,6,3,10,12770
199,1,446,31,2,6,6,4,4694
200,1,460,35,9,6,8,5,5452
201,2,553,32,5,4,5,4,6684
202,3,1008,14,9,7,3,8,11973
203,2,428,31,1,5,6,3,5090
204,3,1292,34,1,4,5,10,11512
205,1,526,20,7,6,6,1,6212
206,2,362,20,10,9,6,4,4210
207,2,548,8,7,6,7,5,6071
208,3,823,37,1,10,9,10,7194
209,2,576,15,2,6,9,1,6722
210,1,558,5,3,10,1,4,6805
211,2,535,2,3,3,7,7,6341
212,3,1026,37,3,3,7,9,13448
213,2,510,8,10,8,8,10,6021
214,3,1326,36,6,7,2,5,11554
215,3,1384,10,3,10,5,3,13031
216,3,1179,24,3,10,10,3,13061
217,2,626,6,9,3,4,6,6213
218,2,397,32,1,1,5,8,4460
219,2,513,14,8,2,10,9,6818
220,3,869,7,6,7,2,4,10735
221,1,496,8,2,8,1,9,4799
222,2,607,37,10,1,5,4,6969
223,2,518,23,4,4,1,1,6796
224,3,1150,10,5,1,5,7,13482
225,3,925,13,7,8,2,5,9760
226,3,1006,21,8,2,10,10,13075
227,3,806,8,1,9,6,2,8958
228,2,650,31,5,1,6,10,6653
229,3,1093,32,7,8,7,6,11708
230,3,827,40,4,7,6,3,7076
231,2,540,22,9,8,4,7,6134
232,2,414,27,1,5,10,4,5280
233,2,591,30,1,5,8,8,6095
234,3,1314,33,8,3,5,1,12116
235,3,1193,1,2,2,6,5,13440
236,3,1088,3,3,8,4,5,13690
237,1,520,38,4,3,4,7,6880
238,3,1399,11,6,5,2,5,13558
239,2,403,35,3,9,2,4,5440
240,1,571,40,9,1,4,2,6117
241,3,1146,13,3,7,9,1,13387
242,2,644,34,9,10,4,2,6739
243,2,408,24,8,4,1,4,4509
244,1,493,26,6,2,1,5,4517
245,1,479,28,9,3,1,3,4723
246,2,573,5,1,3,5,10,6779
247,3,1241,32,10,6,6,5,12850
248,2,456,27,1,3,7,6,5407
249,1,507,2,10,3,3,8,6308
250,2,537,17,10,4,4,3,6674
251,1,518,12,3,1,2,5,6607
252,3,1104,12,9,1,9,4,13746
253,1,431,33,5,5,7,4,5194
254,3,1084,11,8,6,7,8,11603
255,2,569,23,4,2,9,10,6954
256,1,484,38,6,1,5,2,4595
257,2,511,28,8,3,9,1,6017
258,3,951,33,1,2,1,9,10746
259,3,994,6,3,8,2,6,9485
260,1,398,6,2,9,3,7,4055
261,1,471,10,5,3,6,3,4658
262,1,452,20,6,8,7,3,4581
263,1,455,20,6,1,3,7,4802
264,1,375,38,1,3,9,7,4447
265,2,421,30,2,4,10,4,4646
266,3,1374,10,9,8,3,1,12777
267,3,863,22,10,4,2,2,9916
268,1,363,39,4,9,10,4,4457
269,1,542,28,7,7,6,9,6977
270,1,376,30,2,9,6,10,3793
271,1,410,1,9,8,7,5,4979
272,3,1113,39,7,2,2,4,13449
273,1,363,11,10,2,5,6,4273
274,1,365,19,6,2,6,9,3806
275,1,528,37,10,8,9,3,6478
276,3,1218,33,2,3,10,4,12803
277,2,545,37,6,3,3,3,6199
278,1,644,33,4,10,4,1,6954
279,2,520,1,4,5,6,4,6767
280,2,448,16,1,9,10,1,5295
281,1,502,1,2,5,5,3,6216
282,3,1392,38,7,2,7,8,13409
283,2,614,36,4,3,6,2,6946
284,1,379,20,6,4,1,8,4032
285,2,604,19,8,1,6,8,6920
286,3,1352,26,3,10,3,3,13629
287,3,1059,31,10,9,1,9,13174
288,3,982,36,7,8,4,2,9556
289,1,562,5,6,6,6,1,6648
290,1,456,8,9,4,4,7,5053
291,2,463,2,3,7,10,6,5190
292,3,947,31,6,6,6,10,9044
293,2,628,34,10,3,4,10,6823
294,2,359,23,3,5,7,8,4424
295,2,476,38,7,1,3,7,5309
296,1,361,29,9,1,4,7,4083
297,1,439,15,1,8,8,6,4957
298,2,437,29,1,1,3,10,4724
299,1,355,25,1,4,9,8,4076
300,1,408,39,2,4,4,6,5428
301,3,1208,33,8,9,10,6,12465
302,2,577,12,5,4,9,5,6598
303,3,924,37,10,7,7,5,11070
304,1,478,12,8,9,6,6,4871
305,2,356,29,7,10,1,4,3994
306,1,357,33,2,4,6,9,3960
307,3,1110,21,8,6,7,10,12159
308,1,494,31,3,3,3,10,4746
309,1,418,14,3,7,6,10,5437
310,1,525,9,10,5,7,9,6902
311,1,483,38,5,4,9,7,4928
312,1,602,18,10,5,9,3,6262
313,1,353,6,2,9,9,8,3710
314,3,1363,20,2,4,1,8,13207
315,2,403,20,9,5,1,3,5358
316,1,484,29,3,5,10,7,4820
317,1,598,17,4,3,7,5,6519
318,3,1012,9,8,2,2,3,13079
319,2,514,27,4,2,10,4,6067
320,3,1017,3,9,2,1,5,11949
321,1,513,33,7,1,3,7,6004
322,1,599,28,8,8,7,8,6561
323,3,845,7,9,8,8,2,7934
324,3,1028,9,6,2,2,2,11722
325,1,613,1,5,4,7,9,6085
326,3,1387,28,2,2,4,4,12839
327,3,1114,2,5,5,4,3,11685
328,3,839,36,9,2,1,6,7923
329,2,406,30,2,10,9,10,5104
330,1,411,19,6,5,7,3,4765
331,3,1008,25,5,5,1,9,11569
332,2,527,34,2,3,6,1,6697
333,1,618,15,4,8,9,6,6449
334,1,633,6,5,6,7,2,6319
335,1,386,10,7,2,8,2,4256
336,3,1059,28,8,2,1,3,13114
337,2,538,34,1,8,2,5,6648
338,2,534,3,5,8,8,7,6204
339,2,521,31,2,9,10,9,6371
340,1,596,12,7,1,10,2,6443
341,2,602,4,1,1,9,9,6621
342,1,432,15,3,2,6,9,4956
343,1,617,35,3,7,4,6,6054
344,3,806,9,6,6,8,7,7999
345,1,439,21,3,9,10,7,5412
346,2,516,7,4,4,6,7,6474
347,3,1366,7,10,7,3,9,12100
348,1,372,13,5,9,10,10,4185
349,3,1084,22,8,4,6,5,13156
350,1,377,29,6,5,1,6,4089
351,2,475,12,2,4,1,7,5163
352,1,515,9,7,8,7,6,6632
353,2,354,36,9,6,1,8,3947
354,2,386,7,4,6,2,10,4026
355,2,577,31,9,6,9,10,6504
356,2,628,26,10,2,9,2,6201
357,1,500,38,7,6,3,9,5112
358,3,1384,9,5,1,7,1,11651
359,3,1211,34,5,8,9,3,12610
360,3,1125,8,4,5,10,10,11729
361,1,499,11,9,2,8,6,4614
362,3,1168,18,5,6,10,5,13090
363,3,927,40,7,8,4,9,9128
364,3,832,7,6,8,10,5,8215
365,3,884,4,7,8,2,8,9015
366,1,463,8,8,3,5,5,5344
367,3,1394,34,8,1,5,8,13295
368,2,526,20,3,4,5,4,6507
369,2,527,2,6,5,7,4,6866
370,3,1039,25,8,5,9,5,12978
371,3,1007,9,2,6,5,2,12375
372,2,525,8,5,1,6,4,6574
373,3,879,32,2,1,9,1,11091
374,1,378,6,4,9,7,4,4395
375,3,1261,29,5,6,3,5,13396
376,2,523,9,7,5,2,9,6895
377,3,970,2,4,1,1,1,10367
378,3,832,10,4,5,3,7,7998
379,3,1334,39,5,4,2,3,13340
380,1,378,13,5,1,7,8,4317
381,1,465,37,2,10,1,5,5165
382,1,473,2,9,1,2,1,4774
383,1,428,15,3,6,3,1,4820
384,3,1319,9,9,7,6,4,11553
385,3,869,18,4,2,4,1,9755
386,2,493,31,8,5,7,9,4819
387,2,607,33,5,6,8,4,6734
388,1,603,37,9,9,10,1,6765
389,2,410,20,2,7,8,10,4847
390,2,539,32,7,1,6,1,6799
391,2,564,39,1,9,1,1,6925
392,3,1093,17,6,7,8,4,12761
393,3,1366,31,1,3,6,9,13894
394,3,936,37,2,4,5,8,10821
395,3,897,14,8,3,3,8,10471
396,2,530,23,4,4,10,1,6078
397,3,955,7,1,4,5,6,9849
398,1,517,14,9,2,4,9,6849
399,3,950,29,3,4,2,9,11049
400,2,362,19,4,9,10,8,3959
401,1,500,40,5,9,9,1,5063
402,1,578,29,3,8,4,2,6731
403,2,474,35,6,2,1,2,5256
404,1,386,15,4,10,7,2,4110
405,3,1011,18,6,9,3,6,12893
406,1,550,3,9,3,10,7,6091
407,2,513,6,7,8,3,4,6583
408,1,504,33,4,5,1,4,6667
409,3,1236,20,5,1,6,6,13753
410,2,486,21,10,3,3,3,5306
411,2,474,7,10,6,2,8,5329
412,2,627,13,2,3,9,10,6704
413,3,1265,17,2,10,3,1,11661
414,3,1119,36,9,3,5,8,11594
415,2,543,21,3,1,1,9,6267
416,1,433,21,10,5,4,7,5123
417,3,971,28,4,2,5,4,10525
418,1,550,32,6,10,8,6,6602
419,3,838,9,1,6,5,4,8396
420,2,380,25,4,6,2,4,3803
421,1,376,31,8,3,10,2,4435
422,3,1055,1,6,2,8,9,12506
423,3,1222,25,3,1,9,2,12177
424,3,1131,17,10,8,4,4,13609
425,2,369,20,7,10,2,5,4066
426,1,433,17,9,9,4,3,4863
427,2,387,33,10,2,5,4,4483
428,1,461,35,10,8,8,10,4605
429,1,407,31,6,8,10,7,4559
430,1,443,8,6,2,10,4,4782
431,3,1021,4,1,3,4,5,13255
432,2,350,3,10,8,7,6,4384
433,2,583,20,9,7,7,8,6163
434,3,1177,31,7,9,8,4,13593
435,2,648,30,10,8,8,4,6739
436,3,1110,26,6,2,6,2,12492
437,2,469,37,7,3,9,9,5206
438,2,508,15,3,1,8,5,6872
439,3,838,35,7,9,10,1,8258
440,2,422,7,7,7,3,3,4572
441,2,530,22,6,2,5,1,6260
442,1,614,36,3,7,7,2,6985
443,2,447,21,7,1,1,7,4866
444,1,425,13,9,10,9,4,4786
445,1,583,6,9,7,4,1,6519
446,1,448,35,3,1,3,3,4595
447,3,903,13,3,8,10,8,9467
448,3,912,35,7,4,6,8,9736
449,1,396,15,8,7,5,4,3945
450,2,404,25,3,6,1,6,5241
451,1,540,33,5,8,10,2,6400
452,1,600,8,4,7,8,6,6437
453,2,493,1,10,10,3,6,4534
454,2,484,14,10,8,6,3,5192
455,3,1114,25,9,4,4,8,13127
456,3,908,17,5,9,1,2,9526
457,2,386,38,3,9,7,5,3804
458,1,462,17,2,9,6,6,5317
459,3,1370,20,2,8,5,7,13930
460,3,1400,27,1,2,6,10,13455
461,1,354,12,9,5,9,10,3734
462,3,1174,29,4,7,9,4,12815
463,1,486,13,4,1,8,5,4728
464,1,484,31,4,9,7,2,5248
465,3,1344,39,6,2,4,7,12290
466,3,886,34,1,1,2,4,11431
467,3,914,33,1,10,9,2,9007
468,2,376,37,6,6,2,4,4495
469,2,441,8,7,1,2,5,4540
470,2,399,16,1,6,8,8,3761
471,1,427,33,10,8,7,9,5368
472,1,402,8,10,10,7,6,4671
473,1,640,29,9,4,1,10,6277
474,2,577,16,2,2,3,6,6396
475,2,639,7,6,9,3,3,6786
476,3,1000,12,5,2,5,4,9849
477,1,554,36,7,8,4,2,6741
478,3,1115,32,10,4,1,8,12359
479,2,357,13,9,5,3,6,3705
480,2,519,30,2,5,2,2,6221
481,3,840,38,8,3,10,1,8724
482,3,834,21,8,5,9,5,8012
483,3,1334,32,10,3,10,4,12068
484,2,436,9,8,7,10,5,5165
485,3,1000,9,2,5,8,9,9192
486,3,819,14,4,10,8,6,7985
487,3,1258,20,9,9,9,2,11750
488,3,1307,28,8,6,7,1,12053
489,2,512,34,3,6,7,3,6878
490,1,358,27,8,5,6,8,3908
491,1,350,31,5,2,10,10,4044
492,1,577,3,10,7,1,10,6632
493,2,619,31,2,8,9,5,6720
494,3,1314,21,3,4,1,7,12236
495,2,355,31,5,10,10,4,4169
496,1,376,13,2,9,9,3,3974
497,3,1217,35,1,3,5,7,12389
498,2,423,28,9,10,7,7,5393
499,2,577,13,6,9,3,10,6739
500,1,590,34,6,8,4,5,6184
501,3,1365,22,3,2,2,3,13796
502,3,1183,13,3,9,3,5,13737
503,3,1308,13,7,2,6,3,12895
504,1,519,6,4,10,6,5,6235
505,1,501,13,2,5,4,4,5239
506,1,408,38,3,1,3,1,4624
507,2,369,10,2,4,1,1,4418
508,2,568,3,4,7,1,10,6671
509,3,819,6,3,8,3,1,8552
510,3,979,4,10,9,3,4,10129
511,3,880,18,9,3,10,4,10652
512,3,1042,37,9,8,3,1,13277
513,1,613,31,6,3,6,10,6959
514,3,1041,18,9,2,5,10,13559
515,1,516,13,2,2,10,10,6624
516,1,358,27,5,1,9,8,3868
517,3,1375,22,5,4,7,10,13118
518,3,1101,4,9,9,1,4,13630
519,3,1084,23,3,6,5,6,11658
520,2,505,9,6,5,3,2,6176
521,3,1109,8,1,1,2,9,13364
522,2,404,36,3,6,4,6,5415
523,3,1023,33,3,4,3,6,13520
524,1,538,38,4,2,10,2,6041
525,1,628,33,3,8,1,2,6712
526,3,1309,34,10,1,2,2,12601
527,1,468,4,3,1,4,10,4628
528,3,916,2,9,1,10,8,10808
529,2,527,22,6,9,10,9,6768
530,3,1265,18,9,6,10,8,13930
531,1,360,3,2,2,7,5,3904
532,3,871,15,6,8,4,3,11042
533,3,1113,2,2,6,7,1,13435
534,3,1053,28,10,4,9,10,11982
535,3,1018,15,8,8,6,5,13672
536,2,567,2,9,10,4,4,6467
537,1,402,14,9,1,6,5,5220
538,2,641,32,3,10,7,8,6886
539,1,589,35,5,10,6,1,6574
540,2,538,14,4,2,5,7,6985
541,2,425,23,4,3,7,2,4842
542,1,501,37,6,9,1,4,5341
543,3,867,20,5,7,7,3,9702
544,3,1382,40,1,10,9,3,12280
545,2,360,9,2,1,10,2,4272
546,2,458,24,2,1,1,4,4973
547,3,1080,3,1,10,10,6,12334
548,3,1083,11,5,5,4,10,11894
549,1,580,22,3,3,1,2,6354
550,1,543,24,2,3,5,6,6008
551,2,446,19,6,1,5,9,5106
552,3,1251,37,1,1,6,3,12049
553,1,511,31,1,2,7,2,6788
554,1,621,10,2,2,2,5,6546
555,3,908,1,5,4,8,4,11482
556,1,556,20,10,8,8,4,6974
557,2,398,20,7,9,10,1,3729
558,3,1142,17,5,8,8,5,11562
559,2,381,9,7,5,7,4,3943
560,3,843,12,5,10,10,8,7520
561,2,614,21,8,10,6,8,6478
562,3,977,32,9,9,4,9,9939
563,1,536,3,2,2,5,8,6503
564,3,1324,19,1,1,7,1,12901
565,1,435,10,5,9,9,7,5396
566,1,626,11,9,5,4,8,6258
567,3,1041,31,10,3,5,5,11929
568,1,422,30,2,1,4,4,4984
569,1,635,32,7,4,10,5,6278
570,3,1389,24,8,9,9,10,11953
571,2,363,23,3,7,10,1,4125
572,1,357,21,2,4,3,7,3719
573,1,559,24,2,4,5,2,6827
574,2,369,26,5,3,1,4,3873
575,3,1362,38,4,7,2,6,12266
576,1,424,13,1,8,6,7,5378
577,2,432,25,6,10,5,9,4938
578,3,1290,37,8,7,8,9,11640
579,3,1176,12,4,10,5,7,13809
580,2,505,18,10,6,6,3,6230
581,3,1233,40,1,10,2,1,13920
582,1,600,14,8,2,9,8,6411
583,1,602,8,4,3,8,1,6047
584,3,1311,13,10,2,7,2,12448
585,1,503,21,2,10,5,1,6240
586,1,549,24,6,7,4,10,6000
587,1,641,11,2,8,4,6,6584
588,1,518,21,3,6,8,2,6855
589,2,629,12,1,1,4,3,6181
590,2,623,9,9,8,1,7,6224
591,2,385,37,9,4,7,3,3738
592,3,1332,17,4,1,7,2,12666
593,1,405,1,6,7,4,5,4532
594,1,645,40,10,7,3,7,6243
595,1,536,3,8,8,10,9,6378
596,3,1028,14,2,3,1,6,11502
597,3,1154,37,10,1,6,8,12776
598,2,421,36,5,8,3,9,4531
599,3,1158,29,6,5,10,2,12844
600,3,1082,17,5,6,2,1,12184
601,3,1288,26,8,10,4,1,12886
602,1,636,35,8,3,3,7,6442
603,2,498,18,2,3,6,6,4541
604,2,483,33,6,1,5,2,5214
605,3,1213,24,4,2,7,2,12103
606,1,503,6,9,10,6,4,6507
607,3,1116,7,4,7,4,9,12106
608,3,1122,30,9,8,5,6,12560
609,1,541,30,4,8,4,6,6370
610,2,386,18,10,3,1,2,4477
611,3,1326,14,4,2,8,5,13793
612,1,439,38,3,6,10,5,5031
613,1,553,24,5,4,8,7,6387
614,2,432,40,4,4,4,10,4965
615,3,1397,11,3,5,7,10,11738
616,3,1061,3,6,6,6,9,11747
617,1,590,2,8,9,1,4,6177
618,3,1352,7,7,2,9,8,12618
619,1,376,32,10,5,1,5,4245
620,2,427,25,9,1,1,6,4533
621,3,1300,15,1,6,8,8,12223
622,1,530,22,6,4,9,10,6390
623,1,580,22,7,7,3,6,6358
624,3,1283,18,7,3,9,4,13963
625,1,645,36,10,7,10,9,6420
626,1,471,23,7,7,6,8,5008
627,2,432,11,3,9,4,9,4520
628,1,592,38,5,1,5,7,6937
629,1,531,17,8,1,5,1,6349
630,3,1271,27,5,5,7,8,12406
631,2,582,27,5,3,4,10,6840
632,2,435,35,5,1,9,6,4735
633,3,1281,27,10,3,9,9,12350
634,3,879,39,10,10,5,2,9112
635,2,448,26,10,10,8,8,5200
636,1,457,3,7,1,1,9,5060
637,1,488,2,9,9,1,9,4872
638,2,499,5,8,8,10,4,5396
639,2,580,2,3,1,10,3,6782
640,3,1121,7,8,10,4,5,13373
641,1,427,2,4,5,10,3,4816
642,1,439,8,5,2,3,9,4752
643,1,383,1,8,2,4,10,3714
644,3,1263,20,4,9,10,6,12916
645,3,824,2,10,2,5,7,8228
646,2,433,36,2,10,2,2,5470
647,1,354,3,5,1,5,1,3751
648,3,1209,16,6,6,4,10,13201
649,2,360,1,9,4,9,9,4232
650,1,555,27,10,8,7,2,6327
651,3,887,22,7,10,3,7,11118
652,3,1371,20,7,10,5,5,11894
653,3,996,13,2,7,7,6,11218
654,2,483,29,6,2,4,7,4671
655,1,417,11,6,10,1,10,5473
656,3,851,18,3,9,1,1,7934
657,1,650,11,8,3,5,9,6860
658,2,618,3,9,1,6,3,6597
659,2,387,25,8,6,9,10,4251
660,1,615,17,1,5,3,5,6190
661,3,807,22,3,5,7,1,8808
662,3,905,2,7,7,2,7,11005
663,2,411,19,1,4,1,10,5361
664,1,506,31,6,10,7,3,6920
665,3,1182,27,3,2,7,3,12946
666,3,1307,3,9,4,5,6,12558
667,1,505,5,6,9,2,6,6710
668,1,629,19,3,10,10,3,6917
669,1,510,34,2,2,9,3,6767
670,3,810,36,3,2,6,4,8320
671,2,392,2,6,4,9,9,3720
672,2,467,19,3,10,7,5,4516
673,3,1377,24,2,7,10,1,13673
674,2,419,25,5,1,4,6,4754
675,2,481,24,4,10,8,3,5151
676,2,407,3,2,3,1,9,5381
677,1,542,28,2,4,10,7,6378
678,1,366,37,9,8,2,3,4312
679,3,957,5,7,8,5,8,11243
680,2,503,21,6,1,8,8,6190
681,2,554,25,9,5,6,5,6844
682,2,363,23,9,5,5,6,4222
683,3,897,3,3,6,7,6,11080
684,1,465,19,7,2,9,9,5384
685,1,521,14,1,5,10,1,6736
686,1,456,29,9,9,3,3,4880
687,2,629,33,4,2,4,4,6156
688,2,601,21,1,6,5,9,6731
689,3,928,40,4,7,6,9,9058
690,1,579,6,7,3,6,2,6795
691,2,438,26,9,9,4,1,5474
692,2,484,9,8,7,10,4,5182
693,1,636,4,3,4,4,4,6724
694,3,1239,21,4,2,4,6,12328
695,3,998,19,7,1,4,5,9684
696,2,485,26,5,6,6,9,4569
697,1,486,38,7,1,2,8,5338
698,3,1130,7,10,6,3,6,13092
699,3,984,10,9,1,10,2,9243
700,1,492,19,8,5,1,8,5128
701,2,377,32,1,7,10,6,3873
702,2,520,15,9,4,7,2,6203
703,2,474,20,5,1,5,10,5152
704,1,456,16,1,5,9,2,5300
705,1,641,16,1,5,8,6,6443
706,3,1071,31,2,4,8,3,13895
707,1,509,31,10,9,10,6,6217
708,3,1251,5,10,7,8,6,12785
709,3,1125,33,9,9,8,3,12526
710,1,629,17,9,7,1,2,6092
711,3,890,33,8,1,9,6,11046
712,2,571,16,2,10,1,4,6419
713,3,993,40,1,9,1,1,11032
714,2,480,40,1,7,2,10,5230
715,1,626,36,1,9,1,8,6693
716,3,1130,32,8,2,1,3,12570
717,2,553,16,10,8,10,3,6415
718,2,644,3,8,9,7,6,6700
719,2,527,25,2,3,8,7,6165
720,2,580,19,2,3,3,9,6702
